ID,latitude,longitude,Date,farm type,Pop,Infection
"34",14.847690000000000,101.413120000000006,,dairy,"9","0"
"131",14.897750000000000,101.413160000000005,,dairy,"14","0"
"249",14.934830000000000,101.413719999999998,,dairy,"145","0"
"464",14.901249999999999,101.414130000000000,,dairy,"10","0"
"357",14.900829999999999,101.414230000000003,,dairy,"13","0"
"250",14.864140000000001,101.414259999999999,,dairy,"9","0"
"355",14.900380000000000,101.414450000000002,,dairy,"19","0"
"253",14.934710000000001,101.414599999999993,,dairy,"80","0"
"332",14.919729999999999,101.414699999999996,,dairy,"100","0"
"442",14.864480000000000,101.414879999999997,,dairy,"25","0"
"341",14.918889999999999,101.416979999999995,,dairy,"58","0"
"273",14.866610000000000,101.417569999999998,,dairy,"20","0"
"119",14.861810000000000,101.417609999999996,,dairy,"12","0"
"125",14.866669999999999,101.417910000000006,,dairy,"14","0"
"306",14.896290000000000,101.418019999999999,,dairy,"45","0"
"450",14.912330000000001,101.418090000000007,,dairy,"30","0"
"15",14.932710000000000,101.418130000000005,,dairy,"23","0"
"415",14.897589999999999,101.418139999999994,,dairy,"35","0"
"31",14.867670000000000,101.418279999999996,,dairy,"53","0"
"115",14.865990000000000,101.418909999999997,,dairy,"8","0"
"256",14.846640000000001,101.419520000000006,,dairy,"50","0"
"37",14.909280000000001,101.419600000000003,,dairy,"40","0"
"229",14.888949999999999,101.420479999999998,,dairy,"25","0"
"97",14.888800000000000,101.420500000000004,,dairy,"14","0"
"419",14.905680000000000,101.420649999999995,,dairy,"18","0"
"496",14.889020000000000,101.420710000000000,,dairy,"12","0"
"162",14.846990000000000,101.421109999999999,,dairy,"40","0"
"305",14.846980000000000,101.421139999999994,,dairy,"15","0"
"23",14.873900000000001,101.421999999999997,,dairy,"30","0"
"445",14.909230000000001,101.422449999999998,,dairy,"15","0"
"153",14.869669999999999,101.422820000000002,,dairy,"12","0"
"146",14.870320000000000,101.422830000000005,,dairy,"30","0"
"120",14.888700000000000,101.423220000000001,,dairy,"91","0"
"18",14.941170000000000,101.423429999999996,,dairy,"112","0"
"435",14.914450000000000,101.423460000000006,,dairy,"8","0"
"365",14.941170000000000,101.423479999999998,,dairy,"40","0"
"67",14.912360000000000,101.423730000000006,,dairy,"20","0"
"472",14.916850000000000,101.423829999999995,,dairy,"23","0"
"76",14.849119999999999,101.424160000000001,,dairy,"45","0"
"130",14.913720000000000,101.424350000000004,,dairy,"10","0"
"109",14.914410000000000,101.424390000000002,,dairy,"10","0"
"303",14.912620000000000,101.424729999999997,,dairy,"15","0"
"134",14.916560000000000,101.425060000000002,,dairy,"23","0"
"1",14.849650000000000,101.425079999999994,,dairy,"8","0"
"30",14.863180000000000,101.425110000000004,,dairy,"28","0"
"176",14.940469999999999,101.425309999999996,,dairy,"8","0"
"244",14.916480000000000,101.425399999999996,,dairy,"55","0"
"354",14.915580000000000,101.426410000000004,,dairy,"30","0"
"443",14.898999999999999,101.426479999999998,,dairy,"33","0"
"151",14.883599999999999,101.426670000000001,,dairy,"18","0"
"21",14.890980000000001,101.427310000000006,,dairy,"3","0"
"95",14.908899999999999,101.427390000000003,,dairy,"35","0"
"189",14.888940000000000,101.427729999999997,,dairy,"15","0"
"19",14.901470000000000,101.427740000000000,,dairy,"119","0"
"407",14.891240000000000,101.427930000000003,,dairy,"96","0"
"421",14.859950000000000,101.428179999999998,,dairy,"100","0"
"375",14.902049999999999,101.428590000000000,,dairy,"35","0"
